Country,City,Culture,Event,Preferred Color,Preferred Style,Outfit
England,Manchester,Western,Office Meeting,Gray,Traditional,Pinstripe knee-length skirt with blouse
Malaysia,Ipoh,Indian,Casual Party,Bright,Traditional,Block Print kantha work saree
Dubai,Al Ain,Traditional (Middle Eastern),Wedding,Emerald,Traditional,Embroidered gown with veil and hijab
Dubai,Abu Dhabi,Traditional (Middle Eastern),Wedding,Gold,Modern,Embroidered high-neck gown
USA,Miami,Western,Casual Party,Yellow,Traditional,Abstract midi skirt with a sweater and kitten heels
India,Delhi,Traditional (North Indian),Wedding,Gold,Modern,Embroidered fusion wear dress
England,London,Western,Wedding,Gold,Modern,Lace ivory lace evening gown
England,Bristol,Western,Wedding,Pastel,Traditional,Embroidered tea-length silk dress with a jacket
USA,Houston,Western,Wedding,White,Traditional,Beaded tea-length silk dress with a jacket
Japan,Tokyo,Western,Casual Party,Red,Traditional,Abstract cardigan over a dress with Mary Jane shoes
USA,New York,Western,Wedding,White,Modern,Embroidered embroidered illusion gown with lace details
USA,Chicago,Western,Wedding,White,Modern,Embroidered off-shoulder sequin dress
USA,Houston,Black,Casual Party,Vibrant,Modern,Ankara Print off-shoulder top with Ankara print detailing
USA,Chicago,Black,Casual Party,Multicolor,Modern,Ankara Print African print jumpsuit with bold patterns
Malaysia,Kuching,Indian,Wedding,Red,Modern,Embroidered saree gown
Japan,Tokyo,Western,Casual Party,Yellow,Modern,Striped shorts with a flowy blouse and espadrilles
Malaysia,Ipoh,Malay,Office Meeting,Light Blue,Modern,Solid formal dress with hijab
England,Bristol,Western,Office Meeting,Navy,Modern,Solid pencil skirt with blouse
India,Chennai,Traditional (South Indian),Casual Party,Vibrant,Modern,Batik off-shoulder top with skirt
Sri Lanka,Colombo,Traditional (Sinhala),Casual Party,Earth Tones,Modern,Floral stylish kurti
England,London,Western,Wedding,Silver,Traditional,Beaded floral A-line dress with a matching shawl
USA,New York,Latino,Wedding,Orange,Traditional,Embroidered fringed shawl over a traditional gown
Dubai,Abu Dhabi,Traditional (Middle Eastern),Office Meeting,Black,Modern,Minimal Embroidery blazer with modest dress
Japan,Osaka,Traditional Japanese,Wedding,Gold,Traditional,Traditional Motifs hikifurisode
India,Mumbai,Traditional (North Indian),Wedding,Pink,Modern,Sequined lehenga with fringe details
England,London,African/Caribbean,Casual Party,Vibrant,Traditional,Tribal dashiki dress
India,Chennai,Traditional (South Indian),Casual Party,Pastel,Traditional,Batik block print suit
Dubai,Abu Dhabi,Traditional (Middle Eastern),Office Meeting,Beige,Traditional,Minimal Embroidery modest gown
Dubai,Al Ain,Traditional (Middle Eastern),Casual Party,Bright,Modern,Floral long skirt with blouse
England,Manchester,Western,Wedding,Ivory,Traditional,Beaded floral A-line dress with a matching shawl
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,Maroon,Traditional,Beaded saree with silver work
Malaysia,Kuching,Indian,Wedding,Gold,Modern,Embroidered fancy saree
USA,New York,Western,Casual Party,Yellow,Traditional,Polka dot sweater dress with tights and ankle boots
Sri Lanka,Jaffna,Traditional (Tamil),Casual Party,Vibrant,Traditional,Floral embroidered kurti with leggings
Sri Lanka,Jaffna,Traditional (Tamil),Office Meeting,Pastel,Modern,Minimal Embroidery straight-cut suit
Sri Lanka,Jaffna,Traditional (Tamil),Casual Party,Vibrant,Traditional,Printed block print suit
England,Manchester,Western,Wedding,Ivory,Traditional,Embroidered pleated midi skirt with a blouse and matching bolero
England,Bristol,Western,Casual Party,Green,Traditional,Polka dot cardigan over a dress with Mary Jane shoes
India,Delhi,Traditional (North Indian),Wedding,Gold,Traditional,Embroidered Zardosi work lehenga
USA,Chicago,Western,Wedding,Silver,Modern,Beaded one-shoulder chiffon dress
Dubai,Dubai,Traditional (Middle Eastern),Wedding,Emerald,Modern,Sequined kaftan with modern design
USA,Chicago,Latino,Office Meeting,Beige,Traditional,Subtle Embroidery frilled dress
Dubai,Abu Dhabi,Traditional (Middle Eastern),Wedding,Silver,Modern,Sequined kaftan with modern design
England,London,Western,Casual Party,Green,Modern,Abstract romper with lace details and strappy heels
Malaysia,Ipoh,Indian,Casual Party,Pastel,Modern,Block Print Anarkali
India,Bangalore,Traditional (South Indian),Wedding,Maroon,Modern,Beaded fusion wear outfit
USA,Chicago,Western,Casual Party,Blue,Modern,Abstract jumpsuit with bold patterns and ankle boots
Malaysia,Kuching,Chinese,Office Meeting,Black,Modern,Solid long tunic with leggings
India,Chennai,Traditional (South Indian),Office Meeting,Pastel,Traditional,Minimal Embroidery Kanjeevaram saree
Dubai,Sharjah,Traditional (Middle Eastern),Wedding,Silver,Modern,Beaded sequin dress
USA,Chicago,Western,Casual Party,Red,Modern,Striped sundress with floral prints and sandals
Malaysia,Kuantan,Malay,Casual Party,Multicolor,Traditional,Floral sarong with blouse
Japan,Kyoto,Traditional Japanese,Office Meeting,Earth Tones,Traditional,Solid tsukesage kimono
Japan,Kyoto,Traditional Japanese,Wedding,Gold,Modern,Embroidered mermaid gown
Dubai,Al Ain,Traditional (Middle Eastern),Office Meeting,Gray,Traditional,Minimal Embroidery long tunic with pants
England,Manchester,African/Caribbean,Office Meeting,Gray,Traditional,Subtle Prints wrap skirt with top
USA,Miami,Western,Office Meeting,Beige,Modern,Solid blazer dress
USA,Chicago,Latino,Office Meeting,Brown,Modern,Solid sleeveless blouse with cardigan
Dubai,Dubai,Traditional (Middle Eastern),Wedding,Emerald,Traditional,Embroidered velvet gown with gold embroidery
USA,Miami,Latino,Wedding,Red,Modern,Lace halter-neck dress with intricate embroidery
England,Bristol,Western,Office Meeting,Black,Modern,Solid business suit
Japan,Tokyo,Western,Casual Party,Blue,Traditional,Abstract cardigan over a dress with Mary Jane shoes
USA,Houston,Western,Casual Party,Blue,Traditional,Polka dot twinset with a pencil skirt and classic pumps
Malaysia,Ipoh,Indian,Wedding,Pink,Modern,Zari fancy saree
Sri Lanka,Galle,Traditional (Sinhala),Office Meeting,Pastel,Modern,Minimal Embroidery wrap dress with formal detailing and modest fit
India,Delhi,Traditional (North Indian),Office Meeting,Earth Tones,Traditional,Minimal Embroidery phulkari dupatta with suit
England,Bristol,South Asian,Office Meeting,Pastel,Modern,Solid palazzo pants with kurti
USA,Houston,Western,Casual Party,Blue,Traditional,Striped button-up shirt with tailored trousers and loafers
USA,Houston,Western,Office Meeting,Gray,Traditional,Pinstripe dress with pantyhose
Dubai,Al Ain,Traditional (Middle Eastern),Casual Party,Bright,Traditional,Floral jalabiya with minimal embroidery
USA,Chicago,Western,Office Meeting,Beige,Traditional,Checkered dress with pantyhose
USA,Chicago,Black,Wedding,Kente Colors,Traditional,Beaded Zulu traditional attire
Malaysia,Ipoh,Chinese,Office Meeting,Black,Modern,Solid shift dress with embroidery
Japan,Osaka,Traditional Japanese,Casual Party,Pastel,Traditional,Floral obi belt over dress
USA,Miami,Western,Casual Party,Pink,Modern,Abstract shorts with a flowy blouse and espadrilles
USA,Chicago,Black,Wedding,Bright,Modern,Kente Patterns asymmetrical gown with beaded accents
Japan,Tokyo,Traditional Japanese,Office Meeting,Earth Tones,Modern,Subtle Patterns blouse with kimono sleeves
India,Bangalore,Traditional (South Indian),Office Meeting,Pastel,Modern,Minimal Embroidery shift dress
England,London,Western,Office Meeting,Navy,Modern,Solid blazer dress
USA,Chicago,Black,Wedding,Gold,Traditional,Ankara Print Zulu traditional attire
Dubai,Abu Dhabi,Traditional (Middle Eastern),Office Meeting,Gray,Traditional,Minimal Embroidery abaya
England,Manchester,African/Caribbean,Office Meeting,Brown,Modern,Subtle Prints skirt suit with cultural motifs
Japan,Tokyo,Western,Casual Party,Pink,Modern,Abstract romper with lace details and strappy heels
India,Delhi,Traditional (North Indian),Wedding,Gold,Traditional,Beaded heavy embroidered saree
England,Bristol,South Asian,Office Meeting,Earth Tones,Modern,Minimal Embroidery palazzo pants with kurti
Sri Lanka,Colombo,Western,Casual Party,Yellow,Traditional,Striped conservative shift dress with a belt and pumps
Malaysia,Kuching,Malay,Casual Party,Multicolor,Traditional,Printed sarong with blouse
India,Chennai,Traditional (South Indian),Office Meeting,Pastel,Modern,Minimal Embroidery long skirt with blouse
Sri Lanka,Colombo,Traditional (Sinhala),Casual Party,Earth Tones,Traditional,Batik simple saree with contrast blouse
Sri Lanka,Colombo,Traditional (Sinhala),Casual Party,Pastel,Traditional,Floral linen saree
Sri Lanka,Colombo,Traditional (Sinhala),Office Meeting,Beige,Traditional,Minimal Embroidery osariya with beaded embellishments and classic pleats
USA,Chicago,Western,Wedding,Gold,Modern,Beaded asymmetrical tulle dress with floral appliqués
India,Mumbai,Western,Casual Party,Green,Traditional,Striped turtleneck sweater with a pleated skirt and loafers
England,London,Western,Casual Party,Blue,Traditional,Floral blouse with a long skirt and low heels
India,Delhi,Traditional (North Indian),Casual Party,Vibrant,Modern,Printed printed jumpsuit
Sri Lanka,Colombo,Western,Casual Party,Green,Traditional,Abstract midi skirt with a sweater and kitten heels
USA,Houston,Black,Casual Party,Bright,Modern,Geometric shorts with traditional African print designs
USA,Miami,Latino,Casual Party,Multicolor,Traditional,Floral blouse with flared sleeves
Dubai,Al Ain,Traditional (Middle Eastern),Casual Party,Pastel,Traditional,Printed hijab with maxi dress
Japan,Tokyo,Western,Wedding,Ivory,Modern,Beaded embroidered illusion gown with lace details
India,Mumbai,Traditional (North Indian),Wedding,Red,Modern,Zari fusion wear dress
England,London,Western,Casual Party,Blue,Modern,Polka dot jeans with a stylish off-shoulder top and wedges
England,Manchester,Western,Office Meeting,Navy,Modern,Pinstripe tailored trousers with blazer
USA,New York,Western,Office Meeting,Black,Modern,Solid wrap dress
Japan,Osaka,Traditional Japanese,Wedding,Gold,Traditional,Embroidered kakeshita kimono
India,Mumbai,Western,Casual Party,Yellow,Traditional,Floral sweater dress with tights and ankle boots
Dubai,Abu Dhabi,Traditional (Middle Eastern),Wedding,Emerald,Traditional,Sequined embroidered abaya
Malaysia,Ipoh,Indian,Office Meeting,Pastel,Modern,Solid straight-cut suit
India,Delhi,Traditional (North Indian),Wedding,Pink,Modern,Sequined lehenga with fringe details
Sri Lanka,Colombo,Western,Office Meeting,Navy,Modern,Pinstripe ankle-length trousers with blouse
Malaysia,Kuching,Malay,Wedding,Silver,Modern,Lace peplum dress
Malaysia,Kuching,Chinese,Casual Party,Bright,Traditional,Floral cheongsam dress with modern print
India,Bangalore,Traditional (South Indian),Wedding,Green,Traditional,Embroidered bridal saree with veil
Japan,Osaka,Traditional Japanese,Wedding,Red,Traditional,Floral gold embroidered kimono
England,Bristol,Western,Casual Party,Pink,Traditional,Polka dot sweater dress with tights and ankle boots
USA,Chicago,Western,Wedding,Gold,Modern,Lace halter-neck satin gown
USA,New York,Western,Casual Party,Green,Modern,Floral sundress with floral prints and sandals
England,Manchester,Western,Office Meeting,Beige,Traditional,Pinstripe knee-length skirt with blouse
India,Delhi,Traditional (North Indian),Wedding,Pink,Modern,Beaded designer lehenga
USA,New York,Western,Wedding,Pastel,Modern,Beaded off-shoulder sequin dress
Dubai,Abu Dhabi,Traditional (Middle Eastern),Casual Party,Bright,Modern,Floral shirt dress with leggings
Japan,Tokyo,Traditional Japanese,Office Meeting,Pastel,Modern,Solid blouse with kimono sleeves
India,Bangalore,Traditional (South Indian),Wedding,Green,Modern,Zari fusion wear outfit
Malaysia,Ipoh,Indian,Wedding,Red,Traditional,Embroidered Phulkari embroidered lehenga
India,Chennai,Traditional (South Indian),Casual Party,Bright,Traditional,Batik kerala saree
USA,Miami,Western,Casual Party,Blue,Traditional,Striped turtleneck sweater with a pleated skirt and loafers
USA,Miami,Latino,Office Meeting,Cream,Traditional,Solid embroidered tunic with leggings
England,Bristol,South Asian,Wedding,Maroon,Modern,Sequined jacket style lehenga
England,London,Western,Casual Party,Green,Modern,Polka dot romper with lace details and strappy heels
Sri Lanka,Galle,Traditional (Sinhala),Wedding,Gold,Traditional,Lace saree with intricate beadwork
Malaysia,Ipoh,Chinese,Casual Party,Multicolor,Modern,Geometric crop top with high-waisted pants
Malaysia,Ipoh,Indian,Wedding,Maroon,Traditional,Embroidered Banarasi silk saree
Sri Lanka,Colombo,Western,Wedding,Ivory,Modern,Beaded halter-neck satin gown
USA,Miami,Western,Wedding,White,Traditional,Lace classic wrap dress with a subtle floral pattern
Malaysia,Ipoh,Indian,Casual Party,Pastel,Modern,Printed kaftan style kurti
England,London,Western,Wedding,White,Modern,Embroidered one-shoulder chiffon dress
USA,Chicago,Latino,Casual Party,Bright,Traditional,Floral blouse with flared sleeves
Malaysia,Ipoh,Malay,Office Meeting,Beige,Traditional,Minimal Embroidery songket skirt with blouse
Sri Lanka,Kandy,Traditional (Sinhala),Office Meeting,Pastel,Traditional,Minimal Embroidery cotton saree with minimalistic embroidery and temple border
USA,Houston,Black,Casual Party,Bright,Modern,Dashiki maxi skirt with tribal pattern overlay
India,Chennai,Traditional (South Indian),Wedding,Gold,Traditional,Beaded saree with intricate motifs
Dubai,Sharjah,Traditional (Middle Eastern),Wedding,Gold,Traditional,Sequined traditional kaftan
Sri Lanka,Jaffna,Traditional (Tamil),Wedding,Maroon,Modern,Beaded crop top with skirt
England,Manchester,African/Caribbean,Wedding,Purple,Traditional,Kente Ankara mermaid gown
USA,Miami,Western,Office Meeting,Gray,Traditional,Checkered sweater dress
England,London,Western,Wedding,Ivory,Modern,Beaded ivory lace evening gown
Dubai,Sharjah,Traditional (Middle Eastern),Casual Party,Earth Tones,Modern,Floral jumpsuit with sleeves
Sri Lanka,Colombo,Western,Wedding,Gold,Modern,Lace silk crepe slip dress with cowl neckline
England,Manchester,African/Caribbean,Wedding,Gold,Traditional,Beaded Zulu traditional attire
Malaysia,Kuantan,Malay,Casual Party,Bright,Modern,Printed maxi dress
USA,Houston,Western,Office Meeting,Beige,Traditional,Solid blouse with long skirt
India,Bangalore,Traditional (South Indian),Wedding,Green,Traditional,Beaded saree with kundan work
India,Mumbai,Traditional (North Indian),Wedding,Pink,Modern,Sequined gown with ethnic embroidery
Dubai,Sharjah,Traditional (Middle Eastern),Casual Party,Bright,Modern,Floral maxi dress
USA,Miami,Latino,Casual Party,Bright,Modern,Frills peasant blouse with jeans
Dubai,Abu Dhabi,Traditional (Middle Eastern),Wedding,Emerald,Traditional,Beaded bejewelled jalabiya
Sri Lanka,Jaffna,Traditional (Tamil),Wedding,Gold,Modern,Embroidered mermaid saree
Malaysia,Ipoh,Chinese,Wedding,Silver,Traditional,Embroidered embroidered mandarin jacket
India,Mumbai,Western,Casual Party,Yellow,Modern,Polka dot sundress with floral prints and sandals
USA,Miami,Western,Office Meeting,Beige,Modern,Checkered pleated skirt with sweater
India,Mumbai,Western,Wedding,Silver,Modern,Embroidered gold strapless gown with crystal embellishments
Sri Lanka,Jaffna,Traditional (Tamil),Wedding,Gold,Traditional,Embroidered traditional red saree
England,Bristol,South Asian,Office Meeting,Pastel,Traditional,Minimal Embroidery handloom saree
India,Mumbai,Western,Casual Party,Green,Traditional,Striped button-up shirt with tailored trousers and loafers
USA,Miami,Western,Office Meeting,Black,Modern,Checkered sleeveless blouse with cardigan
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,Cream,Modern,Beaded off-shoulder gown
Malaysia,Ipoh,Indian,Office Meeting,Pastel,Modern,Minimal Embroidery cotton saree
USA,Houston,Western,Wedding,Silver,Traditional,Lace long-sleeve chiffon dress with an empire waist
Japan,Tokyo,Western,Casual Party,Yellow,Traditional,Striped midi skirt with a sweater and kitten heels
USA,Chicago,Western,Wedding,Silver,Traditional,Lace conservative high-neck sheath dress with a pearl collar
USA,New York,Latino,Casual Party,Multicolor,Traditional,Frills embroidered dress
Sri Lanka,Galle,Traditional (Sinhala),Office Meeting,Cream,Modern,Minimal Embroidery formal trousers with long-sleeve blouse and subtle patterns
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,White,Modern,Embroidered lehenga
Dubai,Al Ain,Traditional (Middle Eastern),Wedding,Gold,Modern,Embroidered off-shoulder dress with sleeves
Sri Lanka,Kandy,Traditional (Sinhala),Office Meeting,Beige,Modern,Minimal Embroidery blazer with pencil skirt and subtle embroidery
Malaysia,Ipoh,Malay,Wedding,Maroon,Traditional,Beaded batik sarong with kebaya
Sri Lanka,Colombo,Traditional (Sinhala),Casual Party,Earth Tones,Traditional,Floral sarong with blouse
USA,Miami,Western,Office Meeting,Beige,Modern,Pinstripe ankle-length trousers with blouse
Dubai,Abu Dhabi,Traditional (Middle Eastern),Casual Party,Pastel,Traditional,Printed modest dress with hijab
India,Mumbai,Western,Casual Party,Yellow,Traditional,Floral knee-length skirt with a blouse and pearl necklace
England,Bristol,Western,Wedding,Gold,Modern,Beaded modern lace trumpet gown with deep illusion back
Sri Lanka,Galle,Traditional (Sinhala),Wedding,Maroon,Modern,Embroidered lehenga
Sri Lanka,Colombo,Western,Office Meeting,Gray,Modern,Solid shift dress
USA,Chicago,Black,Casual Party,Bright,Modern,Dashiki sleeveless blouse with subtle tribal motifs
England,Bristol,South Asian,Wedding,Pink,Traditional,Beaded Zardosi work lehenga
England,London,African/Caribbean,Office Meeting,Earth Tones,Traditional,Subtle Prints wrap skirt with top
India,Bangalore,Traditional (South Indian),Wedding,Maroon,Modern,Zari mermaid saree
Malaysia,Kuantan,Malay,Casual Party,Pastel,Traditional,Floral batik dress
Japan,Tokyo,Western,Wedding,Pastel,Modern,Beaded halter-neck satin gown
India,Mumbai,Western,Wedding,White,Modern,Embroidered modern lace trumpet gown with deep illusion back
England,Manchester,African/Caribbean,Wedding,Bright,Traditional,Ankara Ankara mermaid gown
Sri Lanka,Colombo,Traditional (Sinhala),Wedding,White,Modern,Lace mermaid dress
India,Bangalore,Traditional (South Indian),Wedding,Gold,Modern,Beaded crop top with skirt
USA,New York,Latino,Casual Party,Multicolor,Modern,Frills crop top with high-waisted shorts
Sri Lanka,Colombo,Western,Wedding,Gold,Modern,Embroidered silver beaded sheath gown
India,Bangalore,Traditional (South Indian),Wedding,Gold,Traditional,Zari Kanjeevaram saree
England,Bristol,South Asian,Casual Party,Vibrant,Modern,Block Print dhoti pants with kurti
India,Mumbai,Traditional (North Indian),Office Meeting,Pastel,Traditional,Solid linen saree
USA,Chicago,Western,Office Meeting,Gray,Modern,Checkered blazer dress
Malaysia,Kuching,Malay,Office Meeting,Cream,Modern,Minimal Embroidery long blouse with skirt
Japan,Tokyo,Western,Wedding,Pastel,Traditional,Beaded classic wrap dress with a subtle floral pattern
USA,Chicago,Black,Wedding,Gold,Modern,Beaded off-shoulder dress with African-inspired embroidery
India,Delhi,Traditional (North Indian),Wedding,Pink,Traditional,Embroidered bridal lehenga
USA,Miami,Latino,Wedding,Orange,Traditional,Ruffles traditional embroidered gown with lace detailing
Sri Lanka,Colombo,Traditional (Sinhala),Wedding,Cream,Modern,Lace ball gown
India,Mumbai,Traditional (North Indian),Casual Party,Vibrant,Traditional,Floral printed saree
England,London,Western,Office Meeting,Beige,Modern,Solid business suit
USA,New York,Western,Wedding,Gold,Modern,Lace silver beaded sheath gown
England,Bristol,South Asian,Wedding,Pink,Traditional,Embroidered Paithani saree
England,London,Western,Office Meeting,Navy,Traditional,Pinstripe dress with pantyhose
India,Mumbai,Western,Casual Party,Yellow,Modern,Abstract denim skirt with a graphic tee and sneakers
Japan,Tokyo,Western,Wedding,White,Modern,Beaded off-shoulder sequin dress
Malaysia,Kuching,Chinese,Office Meeting,Navy,Traditional,Solid embroidered tunic
England,London,Western,Office Meeting,Beige,Traditional,Checkered conservative dress
Dubai,Sharjah,Traditional (Middle Eastern),Office Meeting,Gray,Modern,Minimal Embroidery blazer with modest dress
USA,Miami,Western,Casual Party,Yellow,Modern,Striped jumpsuit with bold patterns and ankle boots
Malaysia,Kuantan,Malay,Wedding,Silver,Modern,Lace peplum dress
Japan,Tokyo,Western,Wedding,Ivory,Traditional,Embroidered pastel midi dress with a modest neckline
India,Chennai,Traditional (South Indian),Wedding,Maroon,Traditional,Zari bridal saree with heavy zari work
Japan,Tokyo,Western,Office Meeting,Gray,Traditional,Pinstripe conservative dress
Malaysia,Ipoh,Indian,Wedding,Maroon,Modern,Embroidered cape style saree
Dubai,Dubai,Traditional (Middle Eastern),Wedding,Gold,Modern,Embroidered gown with train
England,London,Western,Casual Party,Blue,Modern,Abstract romper with lace details and strappy heels
Malaysia,Kuching,Chinese,Office Meeting,White,Modern,Solid Western business attire
USA,Miami,Latino,Casual Party,Multicolor,Modern,Geometric frilled top with capris
Malaysia,Kuching,Malay,Casual Party,Multicolor,Modern,Floral maxi dress
USA,Chicago,Western,Casual Party,Yellow,Traditional,Polka dot turtleneck sweater with a pleated skirt and loafers
Japan,Osaka,Traditional Japanese,Wedding,White,Traditional,Floral tsunokakushi (bridal headdress)
England,Bristol,Western,Casual Party,Yellow,Traditional,Polka dot knee-length skirt with a blouse and pearl necklace
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,Cream,Modern,Beaded designer saree
USA,Miami,Western,Wedding,Pastel,Modern,Embroidered gold strapless gown with crystal embellishments
Japan,Tokyo,Traditional Japanese,Office Meeting,Earth Tones,Modern,Subtle Patterns simple kimono
India,Mumbai,Western,Wedding,Pastel,Modern,Beaded silver beaded sheath gown
India,Bangalore,Traditional (South Indian),Office Meeting,Cream,Traditional,Solid silk saree
Malaysia,Kuching,Indian,Office Meeting,Earth Tones,Traditional,Solid block print salwar kameez
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,Gold,Traditional,Lace saree with silver work
USA,Chicago,Latino,Wedding,Red,Traditional,Ruffles red silk dress with intricate embroidery
Sri Lanka,Galle,Traditional (Sinhala),Casual Party,Pastel,Modern,Batik wrap dress
Dubai,Abu Dhabi,Traditional (Middle Eastern),Wedding,Silver,Modern,Beaded gown with train
Malaysia,Kuantan,Malay,Casual Party,Bright,Modern,Floral peplum top with skirt
England,Manchester,African/Caribbean,Casual Party,Vibrant,Traditional,Floral kitenge dress
Japan,Tokyo,Western,Casual Party,Green,Traditional,Abstract button-up shirt with tailored trousers and loafers
Sri Lanka,Kandy,Traditional (Sinhala),Casual Party,Bright,Traditional,Printed linen saree
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,Maroon,Modern,Lace evening gown
Malaysia,Ipoh,Chinese,Wedding,Gold,Modern,Embroidered off-shoulder gown
USA,New York,Latino,Wedding,Orange,Modern,Lace lace trumpet gown with a sweetheart neckline
India,Mumbai,Traditional (North Indian),Office Meeting,Pastel,Modern,Minimal Embroidery formal Anarkali
Malaysia,Ipoh,Indian,Office Meeting,Earth Tones,Modern,Solid straight-cut suit
USA,Houston,Western,Casual Party,Blue,Modern,Striped shorts with a flowy blouse and espadrilles
England,London,Western,Casual Party,Green,Modern,Floral romper with lace details and strappy heels
England,London,African/Caribbean,Wedding,Purple,Traditional,Beaded Yoruba iro and buba
England,Bristol,South Asian,Wedding,Pink,Traditional,Sequined Gota patti work lehenga
Malaysia,Kuching,Chinese,Wedding,Gold,Traditional,Traditional Motifs silk brocade dress
Japan,Tokyo,Traditional Japanese,Office Meeting,Muted,Modern,Solid wrap dress
Malaysia,Kuching,Chinese,Wedding,Gold,Modern,Embroidered gown with embroidery
USA,Miami,Western,Casual Party,Pink,Traditional,Floral knee-length skirt with a blouse and pearl necklace
Malaysia,Ipoh,Chinese,Wedding,Red,Traditional,Embroidered gold-threaded qipao
USA,Houston,Black,Office Meeting,Navy,Traditional,Subtle Ankara Print Kente wrap dress
Malaysia,Kuching,Indian,Casual Party,Vibrant,Modern,Floral palazzo pants with tunic
Malaysia,Ipoh,Chinese,Office Meeting,Gray,Modern,Solid shift dress with embroidery
Dubai,Dubai,Traditional (Middle Eastern),Office Meeting,Navy,Modern,Solid maxi skirt with blouse
England,London,African/Caribbean,Wedding,Turquoise,Traditional,Beaded Zulu traditional attire
Sri Lanka,Colombo,Western,Casual Party,Pink,Traditional,Abstract midi skirt with a sweater and kitten heels
USA,Chicago,Western,Wedding,Silver,Traditional,Beaded sleeveless pleated dress with a belted waist
USA,Houston,Western,Casual Party,Pink,Traditional,Striped turtleneck sweater with a pleated skirt and loafers
USA,Chicago,Western,Casual Party,Red,Modern,Striped crop top with high-waisted pants and block heels
USA,Chicago,Western,Casual Party,Pink,Traditional,Floral turtleneck sweater with a pleated skirt and loafers
USA,Chicago,Black,Office Meeting,Earth Tones,Traditional,Solid African print maxi skirt with top
Sri Lanka,Kandy,Traditional (Sinhala),Casual Party,Bright,Modern,Floral jumpsuit
USA,New York,Latino,Office Meeting,Cream,Traditional,Solid off-shoulder dress
USA,New York,Latino,Wedding,Red,Modern,Lace one-shoulder gown with bold ruffles
Malaysia,Kuching,Chinese,Office Meeting,Navy,Modern,Solid shift dress with embroidery
India,Mumbai,Western,Casual Party,Green,Modern,Floral denim skirt with a graphic tee and sneakers
USA,Chicago,Western,Office Meeting,Gray,Traditional,Pinstripe sweater dress
USA,New York,Latino,Office Meeting,Cream,Traditional,Subtle Embroidery peasant top with skirt
England,Manchester,Western,Casual Party,Yellow,Traditional,Abstract floral A-line dress with a cardigan and ballet flats
Dubai,Dubai,Traditional (Middle Eastern),Wedding,Emerald,Traditional,Embroidered bejewelled jalabiya
USA,Houston,Western,Casual Party,Yellow,Traditional,Striped twinset with a pencil skirt and classic pumps
Sri Lanka,Colombo,Western,Wedding,Silver,Modern,Lace silver beaded sheath gown
India,Mumbai,Western,Casual Party,Red,Modern,Floral jeans with a stylish off-shoulder top and wedges
USA,Chicago,Latino,Casual Party,Bright,Traditional,Geometric floral print skirt with blouse
Japan,Osaka,Traditional Japanese,Wedding,Red,Modern,Traditional Motifs Western-style wedding dress
England,Manchester,Western,Office Meeting,Beige,Traditional,Checkered twinset with skirt
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,Cream,Traditional,Beaded Kandyan saree
Dubai,Al Ain,Traditional (Middle Eastern),Wedding,Silver,Traditional,Sequined traditional kaftan
England,Manchester,Western,Office Meeting,Beige,Modern,Pinstripe tailored trousers with blazer
USA,Chicago,Western,Casual Party,Blue,Traditional,Floral blouse with a long skirt and low heels
Sri Lanka,Galle,Traditional (Sinhala),Office Meeting,Cream,Modern,Solid culottes with fitted shirt and understated accents
USA,Chicago,Western,Casual Party,Green,Modern,Striped romper with lace details and strappy heels
England,Manchester,African/Caribbean,Wedding,Purple,Traditional,Beaded gele with embroidered dress
England,London,Western,Office Meeting,Black,Traditional,Checkered knee-length skirt with blouse
England,London,Western,Wedding,Gold,Modern,Embroidered modern lace trumpet gown with deep illusion back
India,Delhi,Traditional (North Indian),Wedding,Gold,Modern,Sequined cape style saree
India,Mumbai,Western,Casual Party,Pink,Modern,Polka dot denim skirt with a graphic tee and sneakers
Sri Lanka,Kandy,Traditional (Sinhala),Office Meeting,Beige,Modern,Minimal Embroidery tailored trousers with formal blouse and minimal detailing
Japan,Kyoto,Traditional Japanese,Casual Party,Bright,Traditional,Traditional Prints komon kimono with obi
Malaysia,Ipoh,Indian,Wedding,Maroon,Modern,Sequined jacket style lehenga
USA,Chicago,Western,Casual Party,Blue,Modern,Striped denim skirt with a graphic tee and sneakers
Malaysia,Ipoh,Chinese,Casual Party,Bright,Modern,Printed printed dress
England,Bristol,Western,Wedding,Silver,Traditional,Embroidered classic wrap dress with a subtle floral pattern
USA,Miami,Western,Office Meeting,Beige,Modern,Checkered ankle-length trousers with blouse
India,Mumbai,Western,Wedding,Ivory,Modern,Embroidered embroidered illusion gown with lace details
India,Bangalore,Traditional (South Indian),Wedding,Red,Traditional,Beaded saree with paisley design
England,London,African/Caribbean,Office Meeting,Earth Tones,Modern,Subtle Prints blazer with bright lining
Malaysia,Ipoh,Indian,Wedding,Gold,Modern,Sequined fancy saree
USA,Miami,Latino,Casual Party,Multicolor,Modern,Geometric peasant blouse with jeans
Japan,Osaka,Traditional Japanese,Wedding,Red,Modern,Traditional Motifs asymmetrical dress
